year,month,p
1980,1,40.8608969526693
1980,2,26.07138594860076
1980,3,80.60978645251892
1980,4,59.96651630302191
1980,5,85.66183131843547
1980,6,75.95091530635274
1980,7,54.30567606737792
1980,8,86.2181127932978
1980,9,67.50888111246769
1980,10,52.56082791833541
1980,11,32.32518969505329
1980,12,26.476665014984956
1981,1,10.995512607379094
1981,2,42.4044195744611
1981,3,47.62351531770246
1981,4,59.86959681035926
1981,5,117.00782848030948
1981,6,103.64489222091542
1981,7,102.30691094674607
1981,8,76.80098132046291
1981,9,48.86785404810117
1981,10,70.94859315255198
1981,11,39.32853329926314
1981,12,35.73672281278309
1982,1,62.69297852655164
1982,2,36.008640551150066
1982,3,55.337757895807194
1982,4,56.76511266270114
1982,5,124.54553174991244
1982,6,95.56026916382407
1982,7,85.9387184346265
1982,8,75.78789769237595
1982,9,60.59381765469057
1982,10,63.01046944549719
1982,11,67.26272098265407
1982,12,99.81769996304457
1983,1,24.723101630956247
1983,2,39.29103560625554
1983,3,64.82052059835111
1983,4,85.96489756697602
1983,5,118.64948271021008
1983,6,90.2898403183286
1983,7,55.04790497950309
1983,8,50.60991161237693
1983,9,49.91526877651525
1983,10,74.12265103788278
1983,11,84.8465355438582
1983,12,59.40028849507866
1984,1,22.00013648606044
1984,2,44.83734995808261
1984,3,69.27447792546548
1984,4,93.67247008845534
1984,5,88.43138572137505
1984,6,89.56067160330494
1984,7,64.9085538369486
1984,8,55.83632501564642
1984,9,52.40430430082565
1984,10,109.11303317067154
1984,11,60.19543253219755
1984,12,57.748847881250704
1985,1,34.32160633061067
1985,2,47.910358545864966
1985,3,68.17518095963851
1985,4,60.10974188691883
1985,5,78.52689703890653
1985,6,78.34206274583022
1985,7,68.57378247301139
1985,8,90.0071746126861
1985,9,78.93757636226728
1985,10,80.51571359783027
1985,11,87.7210514822683
1985,12,34.413062878233774
1986,1,13.572883412680305
1986,2,46.488823219696464
1986,3,37.23882305852598
1986,4,74.05402061816588
1986,5,95.26616144676989
1986,6,93.51139801221127
1986,7,82.44250167782711
1986,8,68.98344752482143
1986,9,117.03313804157601
1986,10,80.5403247644893
1986,11,66.42950217376554
1986,12,37.05610217022941
1987,1,32.277046565627224
1987,2,50.88795291439309
1987,3,68.33098740812083
1987,4,36.03345327223258
1987,5,98.3587251038611
1987,6,74.2735306708001
1987,7,90.38956492102959
1987,8,81.31337040618851
1987,9,53.94614394983156
1987,10,23.967222280107844
1987,11,63.50230027527262
1987,12,70.45306867965247
1988,1,34.74231868280007
1988,2,36.50899871828836
1988,3,54.54791974783057
1988,4,55.76963247993144
1988,5,57.4910122669446
1988,6,38.776519124965965
1988,7,72.06658703190034
1988,8,60.625293337860306
1988,9,79.37561135377508
1988,10,35.67545387422966
1988,11,70.65936288376615
1988,12,40.18906288134903
1989,1,46.60661048647303
1989,2,56.65454142109024
1989,3,63.547556646061764
1989,4,48.7955706507863
1989,5,94.90017567537974
1989,6,112.69055605361598
1989,7,83.20268923595306
1989,8,77.15283952343552
1989,9,79.04167332091205
1989,10,39.30100380970031
1989,11,33.55612338210428
1989,12,28.127821602287852
1990,1,54.71698473982231
1990,2,65.78167466716553
1990,3,79.1382222446488
1990,4,66.82452251831748
1990,5,123.19595744371135
1990,6,85.80648030724984
1990,7,83.65209940315292
1990,8,67.29213960341177
1990,9,52.63286387094042
1990,10,61.53867917494089
1990,11,47.16658187228913
1990,12,79.51417845849284
1991,1,42.27649389851283
1991,2,38.349455169540434
1991,3,64.98937612773265
1991,4,105.07097961878515
1991,5,116.26647889773507
1991,6,84.52540909282129
1991,7,66.68166727042197
1991,8,60.027771347308665
1991,9,67.95849457926167
1991,10,60.52108110977817
1991,11,65.6713927861334
1991,12,65.7792516609587
1992,1,36.24655816406486
1992,2,36.89953894276155
1992,3,62.80999536905115
1992,4,53.81001907844703
1992,5,57.25620492659232
1992,6,101.86271501620787
1992,7,127.89565184091936
1992,8,74.91686892027822
1992,9,69.06722230531565
1992,10,33.20509447324824
1992,11,86.38941043216404
1992,12,52.08382341735186
1993,1,52.35262242360745
1993,2,41.44873139248884
1993,3,60.0898560032238
1993,4,82.16789367128823
1993,5,96.52572425861233
1993,6,121.25011900956527
1993,7,129.47892330259947
1993,8,86.59299780339049
1993,9,87.81453162725131
1993,10,50.84683716981241
1993,11,59.78535467205983
1993,12,41.604551742907354
1994,1,50.45732356852816
1994,2,45.18505167555859
1994,3,52.64411322618123
1994,4,92.62474637218351
1994,5,62.40593057069741
1994,6,86.27086703797501
1994,7,92.86434572744301
1994,8,65.40615849899287
1994,9,51.92215121446854
1994,10,69.38130136241061
1994,11,67.23028248556709
1994,12,38.945212938772514
1995,1,50.47875301496919
1995,2,26.302223098474496
1995,3,61.467955624131804
1995,4,86.24422741718806
1995,5,148.2652972874035
1995,6,93.72968869186869
1995,7,80.66435904096014
1995,8,71.56530810319408
1995,9,55.911683057568055
1995,10,59.93910210725635
1995,11,43.64375671432132
1995,12,37.24155498033937
1996,1,53.412466161786405
1996,2,22.103688865336515
1996,3,51.32247276175351
1996,4,63.99653657061867
1996,5,115.38268807541323
1996,6,88.02166749850699
1996,7,90.22047247329479
1996,8,70.99359701173127
1996,9,98.50729239074498
1996,10,55.524569145738475
1996,11,77.2235344451385
1996,12,47.32381881519986
1997,1,44.63886657283278
1997,2,59.971993055092206
1997,3,63.718865087555265
1997,4,77.77818451432394
1997,5,87.26867651820619
1997,6,100.87234017381606
1997,7,77.6236811760535
1997,8,79.65297418584915
1997,9,57.79487711556262
1997,10,62.55403568148703
1997,11,40.47673044248323
1997,12,45.012407489297544
1998,1,60.866454836852945
1998,2,50.160886395726926
1998,3,77.03934473271734
1998,4,76.82499399715353
1998,5,69.41394102085269
1998,6,116.56519800844602
1998,7,88.09970906523841
1998,8,66.28729655021078
1998,9,53.699018776194706
1998,10,91.08119549477323
1998,11,53.62773408985291
1998,12,43.82740553208319
1999,1,71.71005151452881
1999,2,30.636933395189928
1999,3,50.24545147082045
1999,4,99.86361465159241
1999,5,97.18564310633056
1999,6,104.72116788615509
1999,7,67.52639097562421
1999,8,60.51567151722157
1999,9,52.431987341565595
1999,10,32.78606370440293
1999,11,25.971391983489504
1999,12,43.160292183208746
2000,1,32.20065552916352
2000,2,42.04571740699245
2000,3,59.77104536736906
2000,4,63.7792073049578
2000,5,85.23897151130402
2000,6,110.58332437085943
2000,7,73.4282685338804
2000,8,45.14847893319261
2000,9,52.185246911990745
2000,10,50.734119902547015
2000,11,73.23572994997504
2000,12,40.54677207083892
2001,1,40.91128774586384
2001,2,61.48438962553223
2001,3,44.70995467267667
2001,4,65.31316195523993
2001,5,98.22095088582894
2001,6,95.50545650960038
2001,7,85.384099260036
2001,8,60.79720016656554
2001,9,69.23466023780354
2001,10,62.35549333558618
2001,11,55.70194663810629
2001,12,47.92275389184619
2002,1,42.599554366809556
2002,2,29.37762489369479
2002,3,72.1795873955149
2002,4,71.69249508412334
2002,5,94.95681166777977
2002,6,83.09392851596806
2002,7,77.97644065336708
2002,8,84.37194315016166
2002,9,71.51522843011507
2002,10,86.23436515056906
2002,11,31.79403344168352
2002,12,52.31063340473718
2003,1,19.42010081248094
2003,2,61.267193526511434
2003,3,47.90136114760431
2003,4,71.05670119963438
2003,5,110.18266070884127
2003,6,112.02238441038513
2003,7,73.64805217681001
2003,8,66.72239844812832
2003,9,79.71862037493483
2003,10,37.20714329108013
2003,11,64.32107497116802
2003,12,42.99103334672331
2004,1,43.440385600002806
2004,2,44.34838994982338
2004,3,67.08379404928232
2004,4,66.88467960633939
2004,5,113.94500768341491
2004,6,103.83399760164428
2004,7,99.78018165097834
2004,8,77.56910483382275
2004,9,66.21295227865835
2004,10,80.38584462110934
2004,11,81.02889917694269
2004,12,40.70445741826084
2005,1,65.21373993386933
2005,2,41.52850528456108
2005,3,45.34164739289537
2005,4,70.03716315547463
2005,5,72.68725919785615
2005,6,104.2429194536501
2005,7,74.15560904137746
2005,8,92.94549313793331
2005,9,63.11890720987375
2005,10,41.40032505514095
2005,11,50.774769385908066
2005,12,30.22082935998982
2006,1,46.12102407910539
2006,2,26.65654822681759
2006,3,62.612820752330485
2006,4,76.89991831768138
2006,5,67.19135253408248
2006,6,67.04782943202206
2006,7,65.83425553915616
2006,8,88.5100841308052
2006,9,82.34714345825245
2006,10,73.21664138744659
2006,11,42.65314445929452
2006,12,67.29480078274935
2007,1,54.37509869074059
2007,2,36.902192174742574
2007,3,61.26049048590784
2007,4,76.53728374923818
2007,5,98.75668265290267
2007,6,93.95245844223987
2007,7,77.49624759353539
2007,8,84.49327139575003
2007,9,60.4155016834955
2007,10,79.05045086747593
2007,11,27.592700706534284
2007,12,67.44668447043537
2008,1,32.55058413113541
2008,2,58.22193772237908
2008,3,74.6646329013755
2008,4,86.62194720148013
2008,5,116.24976853114022
2008,6,114.56423799621763
2008,7,84.59157589158403
2008,8,75.5426796198405
2008,9,87.95492550653988
2008,10,67.79163707598903
2008,11,38.126793440141476
2008,12,65.08465560737014
2009,1,35.64111298951809
2009,2,33.44988531825781
2009,3,66.86425354691909
2009,4,89.64665586937629
2009,5,98.10343384053877
2009,6,96.35708485247959
2009,7,105.0342778225776
2009,8,84.70414494572205
2009,9,74.19456343346437
2009,10,140.52365336453346
2009,11,25.17764550236628
2009,12,68.05289700791144
2010,1,42.65348569528274
2010,2,38.769568115197906
2010,3,50.53699976496698
2010,4,65.9694456447679
2010,5,115.72850624056396
2010,6,126.44146700299056
2010,7,109.36936202035714
2010,8,78.26090636116402
2010,9,79.46544544447512
2010,10,34.603084228943956
2010,11,57.019479780588725
2010,12,35.42685888866468
2011,1,34.25576175111062
2011,2,50.21070792375863
2011,3,59.829547122580664
2011,4,114.73302796394823
2011,5,125.43299627038112
2011,6,93.22788749444197
2011,7,78.66781792263737
2011,8,64.27485220368217
2011,9,62.11147130763201
2011,10,48.27453179694105
2011,11,72.5777752779817
2011,12,63.54388421574739
2012,1,39.581062122565235
2012,2,44.72581285837763
2012,3,64.20428031123367
2012,4,69.79008079286463
2012,5,72.16151129584567
2012,6,57.154128116702864
2012,7,65.13718753230265
2012,8,60.614664927661856
2012,9,64.01281035980207
2012,10,55.53916144192598
2012,11,22.917611085260255
2012,12,52.44832233846758
2013,1,64.47871861582864
2013,2,48.06277103254528
2013,3,48.933392396670186
2013,4,96.08615354985847
2013,5,121.30824649186674
2013,6,103.51537601379043
2013,7,86.56417224832684
2013,8,71.19766497288303
2013,9,74.61749252516617
2013,10,75.37180069275841
2013,11,47.60171735987065
2013,12,56.61232174076694
2014,1,27.73881894669769
2014,2,44.47363399065015
2014,3,45.5827084343321
2014,4,86.3343071936236
2014,5,83.63354188452938
2014,6,143.6706531842443
2014,7,74.78328589405834
2014,8,106.43819269813461
2014,9,64.40196751540806
2014,10,71.69609684057386
2014,11,39.07320136092396
2014,12,44.70380491125416
2015,1,33.934764483185944
2015,2,38.062437283114065
2015,3,56.147987589676745
2015,4,88.63143048488678
2015,5,152.8661109793974
2015,6,120.7848075422366
2015,7,112.61770611544007
2015,8,71.86931171970073
2015,9,55.31192232953857
2015,10,62.901998815216324
2015,11,93.9490233277722
2015,12,95.86081459388542
2016,1,27.32813713880028
2016,2,41.30415891596264
2016,3,74.82207693904033
2016,4,98.76053209291149
2016,5,99.18215611014473
2016,6,77.15548261553303
2016,7,115.11031063908793
2016,8,114.0267683964756
2016,9,79.79807647821345
2016,10,46.19998206145275
2016,11,38.383821578132675
2016,12,56.080982804076434
