year,jfm_P,am_P,m_P
1980,50.57983288961137,74.16716383625533,86.57980282073805
1981,34.68336767847781,88.96944322240537,117.2403206186108
1982,52.80147897624777,91.86095347601722,125.58137255512932
1983,44.23669700591634,105.19487609842356,121.53752284665786
1984,46.92517900727998,92.9899063009424,91.14686269705402
1985,51.66120421393775,70.36666310878586,79.39953985668271
1986,33.20765213810431,86.16752850994774,96.94909445008423
1987,51.99601241400236,68.0308164275257,99.09106444221285
1988,43.25729015086626,57.12300366023267,56.90795164514397
1989,57.944040432318154,72.81207861420862,96.53261720408378
1990,69.00170021630596,96.73256890107616,125.10810297054817
1991,50.48928558195003,112.78428865984318,117.35726756041569
1992,46.741088748110144,56.731999019549164,58.67994071271678
1993,52.775459856143044,91.34233672182539,99.03791868944936
1994,51.774760277998304,79.05662636088216,63.47504069253345
1995,47.69334057796794,118.39045738092287,148.87964499519248
1996,43.634533662117875,90.32868348897728,115.11661693276227
1997,58.22103435164622,83.8547710619879,88.91893152881772
1998,64.7100370852272,74.89526565247925,70.45626962580637
1999,52.56834958635332,99.67621949853233,98.15136204835258
2000,45.82685815250839,75.95883559043781,86.79876612387643
2001,50.71832375537216,82.66890591182062,99.66151245925923
2002,49.948704247553515,85.08635590382697,96.86499158678781
2003,44.046753019525305,92.4137055052184,112.58442284449987
2004,53.33171075633925,92.94456609157007,117.41132374214685
2005,51.978367408419665,72.12026153814574,73.07332677672188
2006,46.517818594222106,73.78369702811364,68.71122158953203
2007,51.78835750784785,88.37185586889856,99.15085235010609
2008,56.972279154909174,103.31119446178162,117.04426757765604
2009,46.64947488779606,95.69437776438238,100.93524013142209
2010,45.20443720233894,91.45206012940312,117.18415980627812
2011,49.38086068942806,121.78774621452749,125.62567909305805
2012,51.23567236021133,72.13661236049829,73.70803660210744
2013,55.87562976723618,110.69992333535647,122.8385902291532
2014,40.27753790102675,86.677656645778,85.0957245034277
2015,44.2567703599092,122.44443072279736,153.83033506409316
2016,49.50449848235051,100.12245921270807,100.91314400562787
