year,jfm_T,am_T,m_T
1980,-1.1688207594359652,13.416846486878699,16.30186704231744
1981,1.4102925045517778,13.944652154597886,14.649215130846311
1982,-1.8733979257431057,12.39359335044312,16.371910586044343
1983,1.4741862625381843,10.711047376759652,13.882445305709014
1984,0.12995854534502063,11.960154443682868,14.774399142478133
1985,-1.2380356769703271,14.681189351080729,17.174630470444715
1986,1.7742555914187483,13.728144990178286,16.107529238457154
1987,1.8800830519871334,14.826702787065937,18.078631615643083
1988,-0.9543085530483101,13.684471057058346,17.01170234986889
1989,-0.557315693703168,12.889703156683542,15.310181846183617
1990,2.653655293107737,12.28960682996441,14.40158538546884
1991,1.2445976629292634,14.37467328227677,17.378368248391276
1992,2.984526678080057,13.003783248378262,15.813960079799557
1993,-1.3459205279324031,12.230870191174073,15.554678392324142
1994,-1.1045356216366982,13.245628618004734,15.81301890341943
1995,0.876503875213066,11.387209340986736,14.096332447637952
1996,-1.6701643944780509,12.27920613936741,15.437728800197412
1997,0.1781494025645677,10.637036536824358,13.855026154505833
1998,1.5109369490010658,13.95862508378633,17.68903691248124
1999,1.7127926928285784,13.073825449878292,15.568774056932032
2000,2.4807413861627934,13.530193065595201,17.002845533363736
2001,-0.680580377847058,14.085557118985871,16.52038970579554
2002,0.38472237949349575,12.347367189574552,14.187875254760275
2003,-0.574992295634075,13.325933661972503,15.466100159020456
2004,0.554492350528119,13.558440520818749,16.276640453298306
2005,1.1827504389320547,12.853041012771053,14.606941365248765
2006,2.061899969416986,14.590498915453875,16.269441672747494
2007,0.5279835970379393,13.028979344522394,17.153857292317813
2008,-0.6344248827936556,11.804931834901456,14.603084545209379
2009,0.23203281184009247,12.42648619906342,15.490898220811223
2010,-1.0730406983873373,13.74120810367917,15.437739383477696
2011,-1.0833731460437925,12.506946226531173,14.733879773704384
2012,3.8730470946906137,14.854572254119034,17.574269142663574
2013,-0.3240772138132166,11.649230713660815,15.583086900290246
2014,-2.4767759999249215,12.768656165816907,15.749436228369426
2015,-0.218266055266186,13.341794134944976,15.454157703620776
2016,2.291081998627743,13.040776728714036,15.187569546599427
